Фамилия,имя;Школа;Класс;A;B;C;D;Итого   I тур;E;F;G;H;Итого   II тур;Общий итог;Место;
Ученик 1;Школа 146;10;100;100;100;100;400;100;100;100;28;328;728;1;Победитель,
Ученик 2;Школа 9;11;100;100;100;33;333;100;100;100;44;344;677;2;Победитель,
Ученик 3;Школа 9;11;100;100;66;63;329;100;100;100;44;344;673;3;Победитель,
Ученик 4;Школа 146;11;100;100;100;63;363;100;68;100;28;296;659;4;Призер,
Ученик 5;Школа 9;11;100;100;66;63;329;100;100;49;28;277;606;5;Призер,
Ученик 6;Школа 146;10;100;100;100;33;333;100;100;43;14;257;590;6;Победитель,
Ученик 7;Школа 9;10;100;100;66;0;266;100;100;47;14;261;527;7;Призер,
Ученик 8;Школа 9;9;100;73;66;33;272;100;100;26;;226;498;8;Победитель,
Ученик 9;Школа 9;10;100;100;41;33;274;100;38;47;28;213;487;9;Призер,
Ученик 10;Школа 9;8;100;100;41;33;274;100;38;43;28;209;483;10;Победитель,
Ученик 11;Нытва;11;100;73;41;0;214;100;68;49;28;245;459;11;Призер,
Ученик 12;Гимн. 17;10;100;77;41;;218;100;68;23;28;219;437;12;Призер,
Ученик 13;Школа 146;10;100;50;41;33;224;100;38;49;14;201;425;13;Призер,
Ученик 14;Школа 9;9;100;97;41;0;238;100;38;23;14;175;413;14;Призер,
Ученик 15;Школа 9;8;100;52;41;33;226;100;38;23;14;175;401;15;Призер,
Ученик 16;Школа 9;11;100;100;0;33;233;100;45;21;;166;399;16;Призер,
Ученик 17;Добрянка;11;100;88;;33;221;50;15;94;14;173;394;17;Призер,
Ученик 18;Школа 146;10;100;29;41;33;203;100;15;47;14;176;379;18;Призер,
Ученик 19;Школа 9;8;100;100;41;0;241;100;0;23;14;137;378;19;Призер,
Ученик 20;Школа 146;11;100;100;41;;241;100;15;21;;136;377;20;Призер,
Ученик 21;Школа 146;11;100;100;0;33;233;100;;43;;143;376;21;Призер,
Ученик 22;Школа 9;10;100;100;;0;200;100;38;36;;174;374;22;Призер,
Ученик 23;Школа 9;9;100;100;29;;229;100;15;23;0;138;367;23;Призер,
Ученик 24;Лицей 1;11;100;32;41;33;206;100;15;25;14;154;360;24;,
Ученик 25;Школа 9;9;100;100;;0;200;100;15;23;14;152;352;25;Призер,
Ученик 26;Кунгур;10;100;100;;;200;100;15;23;14;152;352;25;Призер,
Ученик 27;Кунгур;11;100;55;0;33;188;100;0;31;28;159;347;27;,
Ученик 28;Гимн. 17;10;100;70;29;;199;100;0;39;;139;338;28;,
Ученик 29;Школа 9;9;100;94;;;194;100;;42;;142;336;29;Призер,
Ученик 30;Гимн. 17;9;100;100;;0;200;100;15;21;;136;336;29;Призер,
Ученик 31;Школа 146;9;100;85;;0;185;100;15;21;;136;321;31;,
Ученик 32;Школа 9;11;100;100;0;;200;100;15;2;0;117;317;32;,
Ученик 33;Школа 9;9;100;73;;;173;100;0;36;;136;309;33;,
Ученик 34;Школа 146;10;100;29;0;0;129;100;38;23;14;175;304;34;,
Ученик 35;Школа 146;9;100;6;41;33;180;100;0;2;14;116;296;35;,
Ученик 36;Гимназия 2 ;11;100;29;0;0;129;75;38;23;28;164;293;36;,
Ученик 37;Школа 9;10;100;100;41;;241;50;;;;50;291;37;,
Ученик 38;Березники;11;100;26;0;;126;100;0;47;14;161;287;38;,
Ученик 39;Школа 146;10;100;6;41;0;147;100;0;21;14;135;282;39;,
Ученик 40;Школа 146;10;100;29;;;129;100;15;23;14;152;281;40;,
Ученик 41;Школа 9;11;100;6;;;106;100;38;23;14;175;281;40;,
Ученик 42;Школа 9;9;100;29;;;129;100;15;23;14;152;281;40;,
Ученик 43;Школа 9;9;100;6;;0;106;100;38;23;14;175;281;40;,
Ученик 44;Школа 9;9;100;29;;;129;75;38;23;14;150;279;44;,
Ученик 45;Гимн. 4;9;100;29;;;129;100;0;23;14;137;266;45;,
Ученик 46;Школа 146;11;100;26;0;;126;100;0;23;14;137;263;46;,
Ученик 47;Школа 146;11;100;26;;;126;100;;23;14;137;263;46;,
Ученик 48;Кунгур;10;100;6;0;;106;100;15;23;14;152;258;48;,
Ученик 49;Березники;11;100;6;;;106;100;15;23;14;152;258;48;,
Ученик 50;Школа 9;9;100;32;;0;132;100;;23;;123;255;50;,
Ученик 51;Школа 146;10;100;3;;;103;100;;23;28;151;254;51;,
Ученик 52;Школа 146;10;100;32;;33;165;50;0;23;14;87;252;52;,
Ученик 53;Школа 146;9;100;3;;0;103;100;23;23;;146;249;53;,
Ученик 54;Школа 146;10;100;32;;0;132;100;0;2;14;116;248;54;,
Ученик 55;Школа 146;10;100;6;41;;147;100;;0;;100;247;55;,
Ученик 56;Школа 9;9;100;32;;;132;100;15;;;115;247;55;,
Ученик 57;Школа 9;9;100;0;0;;100;100;23;23;0;146;246;57;,
Ученик 58;Школа 9;9;100;32;;;132;100;;;14;114;246;57;,
Ученик 59;Школа 146;10;100;0;0;;100;100;0;23;14;137;237;59;,
Ученик 60;Гимназия 2;11;48;49;;;97;100;0;23;14;137;234;60;,
Ученик 61;Школа 9;10;100;32;;0;132;100;;;0;100;232;61;,
Ученик 62;Соликамск;10;48;29;0;0;77;100;15;23;14;152;229;62;,
Ученик 63;Школа 9;9;100;3;;;103;100;0;23;;123;226;63;,
Ученик 64;Школа 9;10;100;32;;;132;75;;;14;89;221;64;,
Ученик 65;Школа 146;10;100;3;;;103;75;0;23;14;112;215;65;,
Ученик 66;Школа 9;9;48;32;;;80;100;;21;14;135;215;65;,
Ученик 67;Гимназия 2;10;48;29;0;;77;100;0;23;14;137;214;67;,
